wb1,wb2,wb3,wb4,wb5,pb,prize,daysin,daycos,year
1.00,11.00,18.00,30.00,41.00,12.00,3400000.00,-0.02,1.00,0.31
6.00,12.00,17.00,18.00,42.00,17.00,2000000.00,-0.09,1.00,0.32
7.00,12.00,21.00,25.00,31.00,11.00,10443874.00,-0.14,0.99,0.33
11.00,16.00,32.00,37.00,39.00,27.00,8400000.00,-0.20,0.98,0.34
4.00,7.00,11.00,25.00,40.00,24.00,6400000.00,-0.25,0.97,0.35
9.00,28.00,40.00,42.00,44.00,12.00,5000000.00,-0.32,0.95,0.36
6.00,17.00,22.00,27.00,34.00,22.00,3400000.00,-0.37,0.93,0.37
9.00,17.00,19.00,40.00,41.00,31.00,2000000.00,-0.43,0.90,0.37
1.00,4.00,26.00,35.00,42.00,28.00,9070980.00,-0.48,0.88,0.39
11.00,15.00,35.00,39.00,40.00,23.00,7000000.00,-0.54,0.84,0.39
10.00,12.00,14.00,20.00,26.00,35.00,5400000.00,-0.58,0.82,0.40
2.00,28.00,36.00,44.00,45.00,17.00,3800000.00,-0.63,0.77,0.41
15.00,27.00,31.00,35.00,45.00,7.00,2000000.00,-0.67,0.74,0.42
16.00,21.00,24.00,36.00,43.00,19.00,22189839.00,-0.72,0.69,0.43
4.00,31.00,34.00,38.00,44.00,39.00,17900000.00,-0.76,0.65,0.44
2.00,3.00,22.00,39.00,42.00,21.00,14900000.00,-0.80,0.60,0.45
6.00,8.00,9.00,22.00,30.00,36.00,11900000.00,-0.83,0.56,0.46
9.00,15.00,17.00,26.00,43.00,22.00,9600000.00,-0.87,0.50,0.47
1.00,4.00,10.00,18.00,36.00,28.00,7200000.00,-0.89,0.45,0.48
3.00,16.00,24.00,31.00,35.00,16.00,5500000.00,-0.92,0.39,0.49
6.00,23.00,26.00,28.00,29.00,36.00,3500000.00,-0.94,0.34,0.50
5.00,13.00,22.00,28.00,29.00,12.00,2000000.00,-0.96,0.28,0.51
18.00,20.00,23.00,34.00,40.00,2.00,38460327.00,-0.97,0.23,0.52
3.00,8.00,23.00,26.00,35.00,34.00,29500000.00,-0.99,0.16,1.01
9.00,10.00,20.00,31.00,34.00,10.00,22500000.00,-0.99,0.11,1.02
18.00,36.00,39.00,40.00,43.00,5.00,18000000.00,-1.00,0.04,1.02
2.00,9.00,22.00,23.00,24.00,6.00,14300000.00,-1.00,-0.01,1.04
17.00,24.00,40.00,44.00,45.00,14.00,11600000.00,-1.00,-0.08,1.04
12.00,18.00,20.00,26.00,40.00,11.00,9300000.00,-0.99,-0.13,1.05
17.00,19.00,21.00,29.00,36.00,45.00,7500000.00,-0.98,-0.20,1.06
9.00,13.00,25.00,33.00,34.00,20.00,6000000.00,-0.97,-0.25,1.07
10.00,20.00,22.00,26.00,34.00,35.00,4800000.00,-0.95,-0.31,1.08
12.00,17.00,27.00,33.00,37.00,37.00,3200000.00,-0.93,-0.36,1.09
3.00,4.00,23.00,24.00,34.00,6.00,2000000.00,-0.91,-0.42,1.10
3.00,9.00,16.00,24.00,34.00,5.00,10763061.00,-0.88,-0.47,1.11
14.00,17.00,30.00,32.00,41.00,27.00,9300000.00,-0.85,-0.53,1.12
6.00,7.00,25.00,33.00,36.00,1.00,7500000.00,-0.82,-0.57,1.13
4.00,36.00,40.00,43.00,44.00,43.00,6200000.00,-0.78,-0.63,1.14
2.00,5.00,9.00,11.00,17.00,41.00,4800000.00,-0.75,-0.67,1.15
7.00,16.00,17.00,42.00,45.00,12.00,3500000.00,-0.70,-0.72,1.16
2.00,3.00,6.00,11.00,23.00,33.00,2000000.00,-0.66,-0.75,1.17
5.00,14.00,19.00,26.00,30.00,27.00,10380975.00,-0.61,-0.79,1.18
8.00,15.00,21.00,26.00,38.00,6.00,8700000.00,-0.57,-0.82,1.19
10.00,15.00,17.00,20.00,28.00,29.00,7300000.00,-0.51,-0.86,1.20
1.00,12.00,29.00,35.00,42.00,29.00,6000000.00,-0.46,-0.89,1.21
15.00,21.00,27.00,32.00,37.00,37.00,4800000.00,-0.40,-0.92,1.22
4.00,16.00,18.00,19.00,36.00,3.00,3300000.00,-0.35,-0.94,1.23
2.00,5.00,18.00,19.00,35.00,40.00,2000000.00,-0.29,-0.96,1.23
12.00,18.00,24.00,30.00,36.00,32.00,4786381.00,-0.24,-0.97,1.25
9.00,11.00,24.00,28.00,44.00,20.00,3500000.00,-0.17,-0.99,1.25
9.00,25.00,28.00,35.00,43.00,13.00,2000000.00,-0.12,-0.99,1.27
5.00,7.00,15.00,22.00,45.00,31.00,2000000.00,-0.05,-1.00,1.27
10.00,24.00,31.00,33.00,45.00,30.00,6070598.00,0.00,-1.00,1.28
17.00,23.00,24.00,31.00,35.00,25.00,5000000.00,0.07,-1.00,1.29
9.00,10.00,19.00,36.00,40.00,39.00,3300000.00,0.12,-0.99,1.30
7.00,11.00,15.00,21.00,35.00,12.00,2000000.00,0.19,-0.98,1.31
1.00,9.00,14.00,26.00,32.00,13.00,10809613.00,0.24,-0.97,1.32
13.00,27.00,29.00,42.00,43.00,41.00,9000000.00,0.30,-0.95,1.33
1.00,8.00,24.00,30.00,36.00,28.00,6800000.00,0.35,-0.94,1.34
2.00,6.00,9.00,10.00,42.00,20.00,5300000.00,0.42,-0.91,1.35
1.00,2.00,11.00,19.00,30.00,15.00,3500000.00,0.46,-0.89,1.36
4.00,8.00,17.00,19.00,45.00,9.00,2000000.00,0.52,-0.85,1.37
30.00,32.00,41.00,42.00,44.00,6.00,7180091.00,0.57,-0.82,1.38
23.00,27.00,28.00,36.00,44.00,26.00,5500000.00,0.62,-0.78,1.39
3.00,11.00,16.00,30.00,34.00,45.00,3600000.00,0.66,-0.75,1.40
2.00,9.00,19.00,28.00,30.00,38.00,2000000.00,0.71,-0.70,1.41
3.00,6.00,13.00,33.00,43.00,37.00,12509819.00,0.75,-0.67,1.42
1.00,12.00,16.00,23.00,31.00,33.00,10200000.00,0.79,-0.61,1.43
27.00,29.00,30.00,36.00,43.00,4.00,7800000.00,0.82,-0.57,1.44
14.00,23.00,31.00,32.00,41.00,33.00,6000000.00,0.86,-0.51,1.45
1.00,8.00,10.00,28.00,35.00,10.00,4000000.00,0.88,-0.47,1.46
6.00,9.00,22.00,42.00,44.00,12.00,2000000.00,0.91,-0.41,1.46
2.00,25.00,35.00,41.00,42.00,15.00,5989205.00,0.93,-0.36,1.48
6.00,7.00,12.00,30.00,43.00,28.00,3900000.00,-0.03,1.00,1.48
6.00,8.00,20.00,26.00,36.00,29.00,2000000.00,-0.10,0.99,1.49
1.00,3.00,13.00,15.00,29.00,12.00,89533942.00,-0.15,0.99,1.50
3.00,4.00,8.00,9.00,44.00,36.00,67500000.00,-0.22,0.98,1.51
9.00,26.00,39.00,43.00,45.00,40.00,54000000.00,-0.27,0.96,1.52
15.00,27.00,37.00,39.00,42.00,26.00,45000000.00,-0.34,0.94,1.53
18.00,26.00,32.00,34.00,43.00,10.00,38000000.00,-0.39,0.92,1.54
5.00,15.00,16.00,39.00,45.00,25.00,32600000.00,-0.45,0.89,1.55
2.00,4.00,18.00,31.00,39.00,43.00,27400000.00,-0.49,0.87,1.56
13.00,24.00,27.00,32.00,43.00,43.00,23500000.00,-0.55,0.83,1.57
2.00,4.00,25.00,26.00,27.00,38.00,20000000.00,-0.59,0.80,1.58
6.00,13.00,21.00,38.00,39.00,40.00,17000000.00,-0.65,0.76,1.59
4.00,13.00,24.00,32.00,41.00,37.00,13900000.00,-0.69,0.73,1.60
13.00,15.00,18.00,22.00,23.00,35.00,11600000.00,-0.74,0.68,1.61
23.00,25.00,28.00,31.00,36.00,39.00,9100000.00,-0.77,0.64,1.62
3.00,22.00,26.00,28.00,45.00,26.00,7200000.00,-0.81,0.58,1.63
1.00,6.00,7.00,9.00,11.00,24.00,5400000.00,-0.84,0.54,1.64
1.00,12.00,21.00,22.00,41.00,25.00,3800000.00,-0.88,0.48,1.65
5.00,9.00,13.00,16.00,38.00,26.00,2000000.00,-0.90,0.44,1.66
4.00,6.00,21.00,38.00,39.00,13.00,12251580.00,-0.93,0.37,1.67
10.00,13.00,27.00,34.00,35.00,22.00,9400000.00,-0.95,0.33,1.67
2.00,3.00,15.00,27.00,43.00,15.00,7500000.00,-0.97,0.26,1.69
7.00,18.00,25.00,39.00,44.00,16.00,5600000.00,-0.98,0.21,1.69
9.00,10.00,11.00,13.00,23.00,28.00,3900000.00,-0.99,0.14,1.70
9.00,23.00,34.00,42.00,44.00,15.00,2000000.00,-1.00,0.09,1.71
2.00,4.00,21.00,25.00,36.00,34.00,7990674.00,-1.00,0.02,1.72
3.00,4.00,12.00,28.00,41.00,33.00,5700000.00,-1.00,-0.03,1.73
1.00,2.00,8.00,16.00,23.00,9.00,4000000.00,-1.00,-0.10,1.74
4.00,15.00,17.00,18.00,40.00,43.00,2000000.00,-0.99,-0.15,1.75
1.00,8.00,18.00,29.00,38.00,42.00,31968308.00,-0.98,-0.22,1.76
4.00,11.00,27.00,36.00,42.00,23.00,27000000.00,-0.96,-0.27,1.77
2.00,4.00,27.00,29.00,35.00,23.00,23300000.00,-0.94,-0.33,1.78
6.00,18.00,30.00,44.00,45.00,11.00,19500000.00,-0.92,-0.38,1.79
20.00,26.00,38.00,41.00,43.00,22.00,16600000.00,-0.90,-0.44,1.80
1.00,11.00,23.00,26.00,34.00,21.00,13600000.00,-0.87,-0.49,1.81
1.00,4.00,7.00,10.00,12.00,42.00,11000000.00,-0.84,-0.55,1.82
1.00,13.00,20.00,22.00,45.00,11.00,8500000.00,-0.81,-0.59,1.83
24.00,26.00,34.00,37.00,42.00,13.00,6500000.00,-0.76,-0.65,1.84
12.00,25.00,32.00,34.00,38.00,45.00,4200000.00,-0.73,-0.68,1.85
10.00,11.00,14.00,34.00,36.00,10.00,2000000.00,-0.68,-0.73,1.86
13.00,22.00,39.00,42.00,44.00,44.00,31065200.00,-0.64,-0.77,1.87
3.00,18.00,20.00,22.00,35.00,41.00,26500000.00,-0.59,-0.81,1.88
5.00,11.00,19.00,34.00,37.00,28.00,22300000.00,-0.55,-0.84,1.89
16.00,25.00,26.00,31.00,35.00,16.00,18600000.00,-0.49,-0.87,1.90
1.00,13.00,26.00,28.00,35.00,1.00,15200000.00,-0.44,-0.90,1.90
6.00,11.00,12.00,23.00,40.00,3.00,12300000.00,-0.38,-0.93,1.92
3.00,13.00,23.00,25.00,36.00,18.00,9700000.00,-0.33,-0.94,1.92
11.00,23.00,33.00,35.00,44.00,43.00,6600000.00,-0.26,-0.96,1.93
9.00,14.00,16.00,21.00,37.00,9.00,4300000.00,-0.21,-0.98,1.94
15.00,18.00,19.00,28.00,41.00,35.00,2300000.00,-0.15,-0.99,1.95
4.00,8.00,19.00,28.00,41.00,30.00,111240463.00,-0.09,-1.00,1.96
9.00,14.00,15.00,30.00,40.00,4.00,78100000.00,-0.03,-1.00,1.97
12.00,24.00,31.00,34.00,40.00,44.00,60000000.00,0.03,-1.00,1.98
4.00,9.00,18.00,19.00,42.00,10.00,48000000.00,0.09,-1.00,1.99
4.00,6.00,15.00,16.00,41.00,3.00,39600000.00,0.15,-0.99,2.00
6.00,17.00,20.00,36.00,42.00,17.00,33600000.00,0.21,-0.98,2.01
7.00,20.00,27.00,35.00,36.00,18.00,28600000.00,0.26,-0.96,2.02
11.00,24.00,28.00,39.00,41.00,36.00,24200000.00,0.33,-0.94,2.03
9.00,20.00,29.00,41.00,43.00,41.00,20400000.00,0.38,-0.93,2.04
1.00,3.00,5.00,9.00,30.00,45.00,17100000.00,0.44,-0.90,2.05
16.00,23.00,24.00,33.00,42.00,31.00,14200000.00,0.49,-0.87,2.06
1.00,5.00,21.00,28.00,41.00,12.00,11900000.00,0.55,-0.84,2.07
5.00,9.00,27.00,30.00,34.00,6.00,9300000.00,0.59,-0.81,2.08
7.00,18.00,26.00,31.00,36.00,39.00,7300000.00,0.64,-0.77,2.09
12.00,24.00,31.00,35.00,38.00,8.00,5500000.00,0.68,-0.73,2.10
15.00,27.00,32.00,40.00,41.00,30.00,3800000.00,0.73,-0.68,2.11
10.00,24.00,35.00,36.00,39.00,13.00,2000000.00,0.76,-0.65,2.12
21.00,22.00,36.00,43.00,45.00,26.00,36769029.00,0.81,-0.59,2.13
7.00,15.00,40.00,42.00,43.00,11.00,30000000.00,0.84,-0.55,2.14
2.00,14.00,25.00,35.00,41.00,1.00,25300000.00,0.87,-0.49,2.15
1.00,13.00,16.00,37.00,41.00,2.00,21100000.00,0.90,-0.44,2.16
9.00,15.00,16.00,25.00,26.00,2.00,17700000.00,0.92,-0.38,2.17
3.00,8.00,10.00,14.00,29.00,37.00,14500000.00,0.94,-0.33,2.17
4.00,15.00,30.00,36.00,38.00,9.00,12100000.00,0.96,-0.27,2.19
6.00,7.00,17.00,29.00,33.00,21.00,9600000.00,0.98,-0.22,2.19
23.00,24.00,30.00,36.00,39.00,34.00,7500000.00,0.99,-0.15,2.20
7.00,19.00,33.00,36.00,43.00,23.00,5600000.00,1.00,-0.10,2.21
15.00,22.00,24.00,32.00,39.00,18.00,3900000.00,1.00,-0.03,2.22
1.00,12.00,19.00,39.00,41.00,13.00,2000000.00,1.00,0.02,2.23
2.00,3.00,13.00,14.00,17.00,26.00,17661167.00,1.00,0.09,2.24
3.00,13.00,25.00,41.00,44.00,42.00,14200000.00,0.99,0.14,2.25
12.00,14.00,25.00,32.00,41.00,38.00,11400000.00,0.98,0.21,2.26
9.00,26.00,32.00,40.00,41.00,11.00,8600000.00,0.97,0.26,2.27
2.00,11.00,21.00,35.00,38.00,29.00,6400000.00,0.95,0.33,2.28
5.00,11.00,27.00,29.00,42.00,12.00,4100000.00,0.93,0.37,2.29
5.00,15.00,21.00,25.00,41.00,34.00,2300000.00,0.90,0.44,2.30
5.00,9.00,15.00,16.00,26.00,44.00,59128680.00,0.88,0.48,2.31
1.00,4.00,16.00,35.00,38.00,27.00,42200000.00,0.84,0.54,2.32
16.00,24.00,32.00,35.00,42.00,45.00,31800000.00,0.81,0.58,2.33
10.00,28.00,32.00,38.00,41.00,38.00,24700000.00,0.77,0.64,2.34
1.00,6.00,16.00,22.00,26.00,32.00,19600000.00,0.74,0.68,2.35
5.00,7.00,11.00,24.00,28.00,22.00,15700000.00,0.69,0.73,2.36
4.00,15.00,16.00,26.00,28.00,33.00,12400000.00,0.65,0.76,2.37
19.00,23.00,25.00,31.00,41.00,37.00,10200000.00,0.59,0.80,2.38
11.00,29.00,40.00,41.00,43.00,5.00,8000000.00,0.55,0.83,2.39
1.00,10.00,27.00,40.00,45.00,17.00,6500000.00,0.49,0.87,2.40
14.00,17.00,18.00,34.00,38.00,32.00,5000000.00,0.45,0.89,2.40
8.00,12.00,15.00,30.00,33.00,9.00,3500000.00,0.39,0.92,2.42
8.00,27.00,31.00,33.00,42.00,20.00,2000000.00,0.34,0.94,2.42
5.00,7.00,8.00,25.00,28.00,13.00,12500274.00,0.27,0.96,2.43
2.00,3.00,11.00,37.00,45.00,29.00,10000000.00,0.22,0.98,2.44
5.00,10.00,38.00,40.00,43.00,10.00,8000000.00,0.15,0.99,2.45
14.00,20.00,25.00,34.00,42.00,16.00,6300000.00,0.10,0.99,2.46
9.00,12.00,20.00,27.00,35.00,20.00,5000000.00,0.03,1.00,2.47
20.00,28.00,29.00,43.00,44.00,34.00,3300000.00,0.00,1.00,2.48
17.00,27.00,40.00,43.00,44.00,24.00,33142608.00,-0.05,1.00,2.49
11.00,20.00,22.00,31.00,34.00,31.00,27800000.00,-0.12,0.99,2.50
1.00,8.00,22.00,24.00,34.00,1.00,22000000.00,-0.17,0.99,2.51
17.00,19.00,25.00,29.00,41.00,5.00,17400000.00,-0.24,0.97,2.52
5.00,18.00,22.00,35.00,39.00,1.00,13100000.00,-0.29,0.96,2.53
3.00,14.00,22.00,30.00,38.00,40.00,9500000.00,-0.35,0.94,2.54
14.00,17.00,18.00,25.00,35.00,37.00,6000000.00,-0.40,0.92,2.55
7.00,8.00,29.00,39.00,41.00,44.00,3200000.00,-0.46,0.89,2.56
5.00,13.00,24.00,29.00,31.00,40.00,101043084.00,-0.51,0.86,2.57
7.00,9.00,16.00,42.00,45.00,31.00,70500000.00,-0.57,0.82,2.58
3.00,16.00,30.00,34.00,41.00,41.00,56400000.00,-0.61,0.79,2.59
6.00,10.00,13.00,26.00,39.00,43.00,46500000.00,-0.66,0.75,2.60
12.00,22.00,23.00,31.00,40.00,24.00,37300000.00,-0.70,0.71,2.61
7.00,15.00,26.00,33.00,39.00,44.00,30800000.00,-0.75,0.66,2.61
10.00,24.00,31.00,33.00,44.00,12.00,24800000.00,-0.78,0.63,2.63
10.00,32.00,40.00,42.00,45.00,31.00,20200000.00,-0.82,0.57,2.63
8.00,13.00,16.00,18.00,21.00,22.00,15300000.00,-0.85,0.53,2.64
5.00,13.00,15.00,27.00,44.00,37.00,11700000.00,-0.88,0.47,2.65
10.00,15.00,17.00,22.00,32.00,28.00,7900000.00,-0.91,0.42,2.66
7.00,13.00,19.00,24.00,29.00,24.00,5100000.00,-0.93,0.36,2.67
3.00,17.00,19.00,29.00,34.00,8.00,2400000.00,-0.95,0.31,2.68
18.00,23.00,24.00,26.00,35.00,44.00,41938674.00,-0.97,0.24,2.69
4.00,14.00,21.00,30.00,36.00,3.00,34800000.00,-0.98,0.19,2.70
12.00,15.00,22.00,32.00,36.00,45.00,29000000.00,-0.99,0.12,2.71
8.00,14.00,29.00,35.00,39.00,1.00,23500000.00,-1.00,0.07,2.72
1.00,5.00,19.00,29.00,37.00,32.00,19000000.00,-1.00,0.00,2.73
10.00,11.00,19.00,26.00,40.00,9.00,14800000.00,-1.00,-0.05,2.74
10.00,16.00,23.00,28.00,32.00,10.00,11500000.00,-0.99,-0.12,2.75
25.00,27.00,30.00,38.00,45.00,18.00,8000000.00,-0.99,-0.17,2.76
18.00,29.00,30.00,37.00,41.00,21.00,5300000.00,-0.97,-0.23,2.77
4.00,20.00,28.00,36.00,44.00,31.00,2400000.00,-0.96,-0.28,2.78
10.00,11.00,20.00,27.00,44.00,26.00,8228649.00,-0.94,-0.35,2.79
21.00,29.00,38.00,43.00,45.00,27.00,5000000.00,-0.92,-0.40,2.80
3.00,12.00,17.00,20.00,34.00,23.00,2500000.00,-0.89,-0.46,2.81
8.00,11.00,19.00,23.00,34.00,7.00,17482828.00,-0.86,-0.50,2.82
11.00,17.00,18.00,25.00,40.00,8.00,14000000.00,-0.83,-0.56,2.83
1.00,20.00,25.00,28.00,43.00,4.00,10600000.00,-0.80,-0.61,2.84
6.00,11.00,21.00,22.00,32.00,38.00,7700000.00,-0.75,-0.66,2.84
